# header: 
#   title: D1 resonance data
#   source: Resonancetables
#   date: 2025-08-01
# reaction: 
#   type: D1
# quantity: 
#   type: resonance data
# datablock: 
#   columns: 11
#   entries: 149
##       Z              A            Liso           Value         dValue        Reference   Rel. dev. comp. Rel. dev. NDL  Rel. dev. all  #Experiments      Nuclide
##      []             []             []            [eV]           [eV]            []             [%]            [%]            [%]            []             []
         8             16              0        4.500000E+05   6.300000E+04  Mughabghab-2018       0.00           0.00           0.00           0           O016  
         9             19              0        6.000000E+04   1.000000E+04  RIPL-3                0.00           0.00           3.49           0           F019  
        10             20              0        8.200000E+04   1.200000E+04  Mughabghab-2018       0.00           0.00          35.05           0           Ne020 
        11             23              0        5.000000E+04   1.000000E+04  RIPL-3                3.85           0.00           4.30           0           Na023 
        12             24              0        1.600000E+05   2.400000E+04  RIPL-3                0.63           0.00          16.12           0           Mg024 
        12             25              0        3.000000E+04   8.000000E+03  RIPL-3                9.29           0.00          12.99           0           Mg025 
        13             27              0        2.750000E+04   2.500000E+03  RIPL-3                1.61           0.00           3.88           0           Al027 
        14             28              0        7.500000E+04   1.000000E+04  RIPL-3               18.48           0.00          21.83           2           Si028 
        14             29              0        8.540000E+04   9.500000E+03  RIPL-3               23.95           0.00          20.10           0           Si029 
        14             30              0        1.090000E+05   1.100000E+04  RIPL-3               18.71           0.00          16.13           0           Si030 
        15             31              0        2.000000E+04   2.000000E+03  RIPL-3                3.61           0.00           9.42           0           P031  
        16             32              0        4.630000E+04   4.100000E+03  RIPL-3                0.00           0.00          52.12           2           S032  
        16             33              0        9.350000E+03   9.000000E+02  RIPL-3                0.00           0.00          15.22           1           S033  
        16             34              0        4.750000E+04   4.000000E+03  RIPL-3                0.00           0.00          39.81           3           S034  
        17             35              0        6.600000E+03   3.000000E+03  RIPL-3                0.00           0.00          12.85           0           Cl035 
        17             37              0        7.600000E+03   5.000000E+02  RIPL-3                7.04           0.00          22.00           0           Cl037 
        18             40              0        1.140000E+04   5.000000E+02  Mughabghab-2018       0.00           0.00          59.15           3           Ar040 
        19             39              0        5.600000E+03   1.000000E+03  RIPL-3               31.41           0.00          28.86           0           K039  
        19             41              0        4.800000E+03   8.000000E+02  RIPL-3               30.11           0.00          25.86           0           K041  
        20             40              0        1.600000E+04   3.000000E+03  RIPL-3                0.00           0.00          56.29           5           Ca040 
        21             45              0        8.600000E+02   0.000000E+00  M.J.Kenny             0.00           0.00           0.00           1           Sc045 
        22             46              0        6.700000E+03   5.000000E+02  Mughabghab-2018       0.00           0.00           0.30           0           Ti046 
        22             47              0        4.700000E+02   6.000000E+01  Mughabghab-2018       0.00           0.00          79.87           0           Ti047 
        22             48              0        8.700000E+03   8.700000E+02  RIPL-3                0.00           0.00          15.91           0           Ti048 
        22             49              0        1.500000E+03   2.000000E+02  RIPL-2                0.00           0.00          35.36           0           Ti049 
        22             50              0        8.300000E+03   5.300000E+02  RIPL-3                9.29           0.00          45.91           0           Ti050 
        23             51              0        1.700000E+03   1.400000E+02  RIPL-3                0.00           0.00          25.71           0           V051  
        24             50              0        3.700000E+03   3.000000E+02  RIPL-3                5.13           0.00           4.38           1           Cr050 
        24             52              0        1.030000E+04   6.000000E+02  RIPL-3                9.21           0.00          28.79           4           Cr052 
        24             53              0        3.060000E+03   2.000000E+02  RIPL-3                0.00           0.00          28.59           1           Cr053 
        24             54              0        1.050000E+04   5.000000E+02  RIPL-3               13.69           0.00          38.46           2           Cr054 
        25             55              0        1.200000E+03   1.500000E+02  RIPL-3                4.04           0.00           7.52           1           Mn055 
        26             54              0        5.000000E+03   5.000000E+02  RIPL-3                5.30           0.00           8.96           1           Fe054 
        26             56              0        7.700000E+03   5.000000E+02  RIPL-3               12.94           0.00          12.49           1           Fe056 
        26             57              0        2.400000E+03   4.000000E+02  RIPL-3                3.45           0.00           6.14           1           Fe057 
        26             58              0        5.030000E+03   3.000000E+02  RIPL-3                8.54           0.00          18.18           1           Fe058 
        27             59              0        9.000000E+02   4.700000E+01  Mughabghab-2018       0.00           0.00          21.79           1           Co059 
        28             58              0        3.200000E+03   3.700000E+02  RIPL-3               13.43           0.00          13.10           1           Ni058 
        28             60              0        3.850000E+03   3.100000E+02  RIPL-3                7.34           0.00          11.01           1           Ni060 
        28             64              0        6.500000E+03   9.000000E+02  RIPL-3               17.20           0.00          37.20           0           Ni064 
        29             63              0        3.050000E+02   3.000000E+01  RIPL-3               12.15           0.00          20.51           1           Cu063 
        29             65              0        6.850000E+02   6.000000E+01  RIPL-3                4.03           0.00          20.29           1           Cu065 
        30             64              0        1.100000E+03   1.000000E+02  RIPL-3                4.42           0.00          17.18           0           Zn064 
        30             66              0        1.170000E+03   1.400000E+02  RIPL-3               14.68           0.00          11.81           1           Zn066 
        30             67              0        1.230000E+02   5.000000E+00  RIPL-3                0.00           0.00          66.62           0           Zn067 
        30             68              0        1.630000E+03   1.400000E+02  RIPL-3               11.34           0.00           9.39           1           Zn068 
        30             70              0        1.900000E+03   2.400000E+02  RIPL-3               18.03           0.00          19.03           0           Zn070 
        31             69              0        1.800000E+02   6.000000E+01  RIPL-3               18.81           0.00          51.44           0           Ga069 
        31             71              0        1.130000E+02   2.300000E+01  RIPL-3                0.00           0.00          87.14           0           Ga071 
        33             75              0        5.000000E+01   6.000000E+00  RIPL-3                3.52           0.00          30.84           0           As075 
        34             76              0        2.000000E+02   5.000000E+00  RIPL-3                8.26           0.00         100.08           0           Se076 
        34             77              0        5.400000E+01   5.000000E+00  RIPL-3                0.00           0.00           1.05           0           Se077 
        34             78              0        5.000000E+02   2.400000E+02  RIPL-3                1.48           0.00         117.80           0           Se078 
        34             80              0        2.200000E+03   1.600000E+03  Mughabghab-2018       0.00           0.00           7.66           0           Se080 
        35             79              0        2.700000E+01   5.000000E+00  RIPL-3                7.69           0.00          32.49           0           Br079 
        35             81              0        6.000000E+01   7.000000E+00  RIPL-3                0.84           0.00          38.65           0           Br081 
        36             84              0        1.650000E+03   1.650000E+02  RIPL-3                0.00           0.00          50.94           0           Kr084 
        36             86              0        1.010000E+04   4.000000E+02  RIPL-3                9.25           0.00          11.29           0           Kr086 
        37             85              0        8.500000E+01   1.000000E+01  RIPL-3               14.86           0.00          20.40           0           Rb085 
        38             86              0        8.400000E+02   1.450000E+02  Mughabghab-2018       0.00           0.00          14.29           1           Sr086 
