# header: 
#   title: Nd148 gamgam1 resonance data
#   source: Resonancetables
#   date: 2025-10-13
# target: 
#   Z: 60
#   A: 148
#   nuclide: Nd148
# reaction: 
#   type: gamgam1
#   parameters: 
#   selected value [eV]:  3.400000E-02
#   selected value uncertainty [eV]:  4.000000E-03
#   selected value source: Mughabghab-2018
#   number of values: 8
#   average value [b]:  3.907109E-02
#   relative standard deviation [%]:     50.942146
#   quantity: 
#     type: Compilation
#     average value:  3.400000E-02
#     relative standard deviation [%]:      0.000000
#   datablock: 
#     columns: 8
#     entries: 1
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      Mughabghab-2018         Compilation          2018        3.400000E-02   4.000000E-03                      1.000000
#   quantity: 
#     type: EXFOR
#     average value:  0.000000E+00
#     relative standard deviation [%]:           NaN
#   datablock: 
#     columns: 8
#     entries: 1
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      A.R.De L.Musgrove       EXFOR                1977        0.000000E+00   0.000000E+00      30360-023       0.000000
#   quantity: 
#     type: Nuclear data library
#     average value:  4.642811E-02
#     relative standard deviation [%]:     31.609089
#   datablock: 
#     columns: 8
#     entries: 6
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      cendl3.2                NDL                  2019        7.370370E-02   0.000000E+00                      2.167756
      jendl5.0                NDL                  2021        4.000000E-02   0.000000E+00                      1.176471
      endfb8.1                NDL                  2024        2.393280E-02   0.000000E+00                      0.703906
      TARES                   NDL                  2025        4.697740E-02   0.000000E+00                      1.381688
      tendl.2025              NDL                  2025        4.697740E-02   0.000000E+00                      1.381688
      jeff4.0                 NDL                  2025        4.697740E-02   0.000000E+00                      1.381688
