# header: 
#   title: Ba138 gamgam1 resonance data
#   source: Resonancetables
#   date: 2025-09-14
# target: 
#   Z: 56
#   A: 138
#   nuclide: Ba138
# reaction: 
#   type: gamgam1
#   parameters: 
#   selected value [eV]:  3.100000E-02
#   selected value uncertainty [eV]:  4.000000E-03
#   selected value source: RIPL-3
#   number of values: 10
#   average value [b]:  3.995242E-02
#   relative standard deviation [%]:     29.050409
#   quantity: 
#     type: Compilation
#     average value:  3.566667E-02
#     relative standard deviation [%]:     18.503727
#   datablock: 
#     columns: 8
#     entries: 3
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      RIPL-2                  Compilation          2000        4.500000E-02   1.000000E-02            94B       1.451613
      RIPL-3                  Compilation          2009        3.100000E-02   4.000000E-03            06M       1.000000
      Mughabghab-2018         Compilation          2018        3.100000E-02   4.000000E-03                      1.000000
#   quantity: 
#     type: EXFOR
#     average value:  4.500000E-02
#     relative standard deviation [%]:      0.000000
#   datablock: 
#     columns: 8
#     entries: 1
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      A.R.De L.Musgrove       EXFOR                1976        4.500000E-02   1.000000E-02      30328-008       1.451613
#   quantity: 
#     type: Nuclear data library
#     average value:  4.125404E-02
#     relative standard deviation [%]:     33.201771
#   datablock: 
#     columns: 8
#     entries: 6
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      cendl3.2                NDL                  2019        6.059730E-02   0.000000E+00                      1.954751
      jendl5.0                NDL                  2021        6.059730E-02   0.000000E+00                      1.954751
      endfb8.1                NDL                  2024        3.312500E-02   0.000000E+00                      1.068548
      TARES                   NDL                  2025        3.106820E-02   0.000000E+00                      1.002200
      tendl.2025              NDL                  2025        3.106820E-02   0.000000E+00                      1.002200
      jeff4.0                 NDL                  2025        3.106820E-02   0.000000E+00                      1.002200
