# header: 
#   title: Nd146 gamgam1 resonance data
#   source: Resonancetables
#   date: 2025-10-02
# target: 
#   Z: 60
#   A: 146
#   nuclide: Nd146
# reaction: 
#   type: gamgam1
#   parameters: 
#   selected value [eV]:  2.700000E-02
#   selected value uncertainty [eV]:  3.000000E-03
#   selected value source: Mughabghab-2018
#   number of values: 8
#   average value [b]:  3.760281E-02
#   relative standard deviation [%]:     50.601810
#   quantity: 
#     type: Compilation
#     average value:  2.700000E-02
#     relative standard deviation [%]:      0.000000
#   datablock: 
#     columns: 8
#     entries: 1
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      Mughabghab-2018         Compilation          2018        2.700000E-02   3.000000E-03                      1.000000
#   quantity: 
#     type: EXFOR
#     average value:  0.000000E+00
#     relative standard deviation [%]:           NaN
#   datablock: 
#     columns: 8
#     entries: 1
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      A.R.De L.Musgrove       EXFOR                1977        0.000000E+00   0.000000E+00      30360-019       0.000000
#   quantity: 
#     type: Nuclear data library
#     average value:  4.563708E-02
#     relative standard deviation [%]:     28.043087
#   datablock: 
#     columns: 8
#     entries: 6
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      cendl3.2                NDL                  2019        3.966000E-02   0.000000E+00                      1.468889
      jendl5.0                NDL                  2021        3.966000E-02   0.000000E+00                      1.468889
      endfb8.1                NDL                  2024        2.300000E-02   0.000000E+00                      0.851852
      TARES                   NDL                  2025        5.716750E-02   0.000000E+00                      2.117315
      tendl.2025              NDL                  2025        5.716750E-02   0.000000E+00                      2.117315
      jeff4.0                 NDL                  2025        5.716750E-02   0.000000E+00                      2.117315
