# header: 
#   title: Nd142 gamgam1 resonance data
#   source: Resonancetables
#   date: 2025-10-13
# target: 
#   Z: 60
#   A: 142
#   nuclide: Nd142
# reaction: 
#   type: gamgam1
#   parameters: 
#   selected value [eV]:  4.800000E-02
#   selected value uncertainty [eV]:  5.000000E-03
#   selected value source: RIPL-3
#   number of values: 10
#   average value [b]:  5.018376E-02
#   relative standard deviation [%]:     12.206578
#   quantity: 
#     type: Compilation
#     average value:  4.733333E-02
#     relative standard deviation [%]:      1.991847
#   datablock: 
#     columns: 8
#     entries: 3
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      RIPL-2                  Compilation          2000        4.600000E-02   5.000000E-03            78M       0.958333
      RIPL-3                  Compilation          2009        4.800000E-02   5.000000E-03            06M       1.000000
      Mughabghab-2018         Compilation          2018        4.800000E-02   5.000000E-03                      1.000000
#   quantity: 
#     type: EXFOR
#     average value:  4.600000E-02
#     relative standard deviation [%]:      0.000000
#   datablock: 
#     columns: 8
#     entries: 1
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      A.R.De L.Musgrove       EXFOR                1977        4.600000E-02   0.000000E+00      30360-003       0.958333
#   quantity: 
#     type: Nuclear data library
#     average value:  5.230626E-02
#     relative standard deviation [%]:     13.601004
#   datablock: 
#     columns: 8
#     entries: 6
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      cendl3.2                NDL                  2019        4.532630E-02   0.000000E+00                      0.944298
      jendl5.0                NDL                  2021        4.278850E-02   0.000000E+00                      0.891427
      endfb8.1                NDL                  2024        4.793140E-02   0.000000E+00                      0.998571
      TARES                   NDL                  2025        5.926380E-02   0.000000E+00                      1.234663
      tendl.2025              NDL                  2025        5.926380E-02   0.000000E+00                      1.234663
      jeff4.0                 NDL                  2025        5.926380E-02   0.000000E+00                      1.234663
