# header: 
#   title: Mo095 gamgam1 resonance data
#   source: Resonancetables
#   date: 2025-10-13
# target: 
#   Z: 42
#   A: 95
#   nuclide: Mo095
# reaction: 
#   type: gamgam1
#   parameters: 
#   selected value [eV]:  2.100000E-01
#   selected value uncertainty [eV]:  4.000000E-02
#   selected value source: RIPL-3
#   number of values: 9
#   average value [b]:  1.867435E-01
#   relative standard deviation [%]:     36.293850
#   quantity: 
#     type: Compilation
#     average value:  2.100000E-01
#     relative standard deviation [%]:      0.000005
#   datablock: 
#     columns: 8
#     entries: 2
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      RIPL-3                  Compilation          2009        2.100000E-01   4.000000E-02            06M       1.000000
      Mughabghab-2018         Compilation          2018        2.100000E-01   4.000000E-02                      1.000000
#   quantity: 
#     type: EXFOR
#     average value:  0.000000E+00
#     relative standard deviation [%]:           NaN
#   datablock: 
#     columns: 8
#     entries: 1
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      A.R.De L.Musgrove       EXFOR                1976        0.000000E+00   0.000000E+00      30357-009       0.000000
#   quantity: 
#     type: Nuclear data library
#     average value:  2.101152E-01
#     relative standard deviation [%]:      8.925988
#   datablock: 
#     columns: 8
#     entries: 6
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      cendl3.2                NDL                  2019        1.844120E-01   0.000000E+00                      0.878152
      jendl5.0                NDL                  2021        1.845730E-01   0.000000E+00                      0.878919
      endfb8.1                NDL                  2024        2.126470E-01   0.000000E+00                      1.012605
      TARES                   NDL                  2025        2.263530E-01   0.000000E+00                      1.077871
      tendl.2025              NDL                  2025        2.263530E-01   0.000000E+00                      1.077871
      jeff4.0                 NDL                  2025        2.263530E-01   0.000000E+00                      1.077871
