# header: 
#   title: Zn068 D1 resonance data
#   source: Resonancetables
#   date: 2025-12-15
# target: 
#   Z: 30
#   A: 68
#   nuclide: Zn068
# reaction: 
#   type: D1
#   parameters: 
#   selected value [eV]:  1.630000E+03
#   selected value uncertainty [eV]:  1.400000E+02
#   selected value source: RIPL-3
#   number of values: 10
#   average value [b]:  1.600774E+03
#   relative standard deviation [%]:      6.958064
#   quantity: 
#     type: Compilation
#     average value:  1.509000E+03
#     relative standard deviation [%]:     11.339950
#   datablock: 
#     columns: 8
#     entries: 3
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      RIPL-2                  Compilation          2000        1.630000E+03   1.400000E+02            81G       1.000000
      RIPL-3                  Compilation          2009        1.630000E+03   1.400000E+02            82G       1.000000
      Mughabghab-2018         Compilation          2018        1.267000E+03   3.700000E+01                      0.777301
#   quantity: 
#     type: EXFOR
#     average value:  1.630000E+03
#     relative standard deviation [%]:      0.000000
#   datablock: 
#     columns: 13
#     entries: 1
##    Author                         Type           Year           Value         dValue        Reference        Ratio          E-min          E-max       Momentum L       Spin J         Parity
##      []             []             []             []            [eV]           [eV]            []             []            [MeV]          [MeV]           []             []             []
      J.B.Garg                EXFOR                1982        1.630000E+03   1.400000E+02      10982-007       1.000000                  0.000000E+00       1.0                                   
#   quantity: 
#     type: Nuclear data library
#     average value:  1.641790E+03
#     relative standard deviation [%]:      0.000000
#   datablock: 
#     columns: 8
#     entries: 6
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      cendl3.2                NDL                  2019        1.641790E+03   0.000000E+00                      1.007233
      jendl5.0                NDL                  2021        1.641790E+03   0.000000E+00                      1.007233
      endfb8.1                NDL                  2024        1.641790E+03   0.000000E+00                      1.007233
      TARES                   NDL                  2025        1.641790E+03   0.000000E+00                      1.007233
      tendl.2025              NDL                  2025        1.641790E+03   0.000000E+00                      1.007233
      jeff4.0                 NDL                  2025        1.641790E+03   0.000000E+00                      1.007233
