# header: 
#   title: Fe058 D1 resonance data
#   source: Resonancetables
#   date: 2025-08-25
# target: 
#   Z: 26
#   A: 58
#   nuclide: Fe058
# reaction: 
#   type: D1
#   parameters: 
#   selected value [eV]:  5.030000E+03
#   selected value uncertainty [eV]:  3.000000E+02
#   selected value source: RIPL-3
#   number of values: 10
#   average value [b]:  6.036984E+03
#   relative standard deviation [%]:     14.165393
# quantity: 
#   type: Compilation
#   average value:  5.353333E+03
#   relative standard deviation [%]:      8.541638
# datablock: 
#   columns: 8
#   entries: 3
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      RIPL-2                  Compilation          2000        6.000000E+03   1.500000E+03            96I       1.192843
      RIPL-3                  Compilation          2009        5.030000E+03   3.000000E+02            06M       1.000000
      Mughabghab-2018         Compilation          2018        5.030000E+03   3.000000E+02                      1.000000
# quantity: 
#   type: EXFOR
#   average value:  8.000000E+03
#   relative standard deviation [%]:      0.000000
# datablock: 
#   columns: 13
#   entries: 1
##    Author                         Type           Year           Value         dValue        Reference        Ratio          E-min          E-max       Momentum L       Spin J         Parity
##      []             []             []             []            [eV]           [eV]            []             []            [MeV]          [MeV]           []             []             []
      J.B.Garg                EXFOR                1978        8.000000E+03   1.000000E+03      10753-002       1.590457   2.298000E-04   3.449200E-01       1.0                                   
# quantity: 
#   type: Nuclear data library
#   average value:  6.051642E+03
#   relative standard deviation [%]:      8.064053
# datablock: 
#   columns: 8
#   entries: 6
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      cendl3.2                NDL                  2019        7.142860E+03   0.000000E+00                      1.420052
      jendl5.0                NDL                  2021        5.833330E+03   0.000000E+00                      1.159708
      endfb8.1                NDL                  2024        5.833330E+03   0.000000E+00                      1.159708
      TARES                   NDL                  2025        5.833500E+03   0.000000E+00                      1.159742
      tendl.2025              NDL                  2025        5.833500E+03   0.000000E+00                      1.159742
      jeff4.0                 NDL                  2025        5.833330E+03   0.000000E+00                      1.159708
