# header: 
#   title: D0 resonance data
#   source: Resonancetables
#   date: 2025-08-01
# reaction: 
#   type: D0
# quantity: 
#   type: resonance data
# datablock: 
#   columns: 11
#   entries: 346
##       Z              A            Liso           Value         dValue        Reference   Rel. dev. comp. Rel. dev. NDL  Rel. dev. all  #Experiments      Nuclide
##      []             []             []            [eV]           [eV]            []             [%]            [%]            [%]            []             []
         9             19              0        1.600000E+05   4.000000E+04  RIPL-2                0.00           0.00          78.55           1           F019  
        11             23              0        1.000000E+05   2.000000E+04  RIPL-3               11.10           0.00          57.71           1           Na023 
        12              0              0        1.000000E+05   0.000000E+00  J.B.Garg              0.00           0.00           0.00           1           Mg000 
        12             24              0        4.800000E+05   7.000000E+04  RIPL-3                1.05           0.00          52.02           0           Mg024 
        12             25              0        5.000000E+04   1.000000E+04  RIPL-3                7.53           0.00          15.41           0           Mg025 
        12             26              0        2.100000E+05   8.000000E+04  RIPL-3               10.64           0.00          20.40           0           Mg026 
        13             27              0        5.500000E+04   6.000000E+03  RIPL-3                8.47           0.00          12.58           1           Al027 
        14              0              0        1.800000E+03   0.000000E+00  K.Tsukada             0.00           0.00          41.18           2           Si000 
        14             28              0        3.320000E+05   3.500000E+04  RIPL-3               21.61           0.00          17.70           2           Si028 
        14             29              0        1.930000E+05   2.200000E+04  RIPL-3               28.91           0.00          30.62           0           Si029 
        14             30              0        2.250000E+05   3.000000E+04  RIPL-3                0.00           0.00          73.91           0           Si030 
        15             31              0        5.000000E+04   1.200000E+04  RIPL-3               18.04           0.00         134.57           1           P031  
        16              0              0        5.000000E+04   0.000000E+00  J.B.Garg              0.00           0.00         136.98           3           S000  
        16             32              0        1.900000E+05   6.000000E+04  RIPL-3                9.75           0.00          55.69           6           S032  
        16             33              0        2.100000E+04   1.000000E+04  RIPL-3               12.50           0.00          34.89           2           S033  
        16             34              0        1.100000E+05   4.000000E+04  RIPL-3               30.07           0.00          30.27           1           S034  
        17              0              0        3.500000E+03   0.000000E+00  J.B.Garg              0.00           0.00         137.27           3           Cl000 
        17             35              0        2.300000E+04   6.000000E+03  RIPL-3                1.45           0.00          11.84           0           Cl035 
        17             37              0        1.500000E+04   4.000000E+03  RIPL-3                0.00           0.00          50.51           0           Cl037 
        18             40              0        5.200000E+04   4.700000E+03  RIPL-3               14.82           0.00          21.38           2           Ar040 
        19              0              0        2.500000E+03   0.000000E+00  J.B.Garg              0.00           0.00           0.00           1           K000  
        19             39              0        1.300000E+04   3.000000E+03  RIPL-3               24.53           0.00          29.73           0           K039  
        19             40              0        8.400000E+02   9.000000E+01  Mughabghab-2018       0.00           0.00          18.74           1           K040  
        19             41              0        1.000000E+04   3.000000E+03  RIPL-3               20.00           0.00          27.57           0           K041  
        20             40              0        4.500000E+04   4.000000E+03  RIPL-3               14.30           0.00          11.99           4           Ca040 
        20             42              0        2.000000E+04   5.000000E+03  RIPL-3               13.14           0.00          30.86           1           Ca042 
        20             43              0        1.800000E+03   3.000000E+02  RIPL-3                8.32           0.00           8.77           1           Ca043 
        20             44              0        2.410000E+04   3.200000E+03  RIPL-3                3.06           0.00          16.09           1           Ca044 
        21             45              0        1.300000E+03   1.000000E+02  RIPL-3               10.52           0.00          25.74           4           Sc045 
        22             46              0        2.500000E+04   4.000000E+03  RIPL-3               10.10           0.00          12.54           2           Ti046 
        22             47              0        1.750000E+03   2.500000E+02  RIPL-3                3.03           0.00          32.63           5           Ti047 
        22             48              0        2.080000E+04   2.500000E+03  RIPL-3                5.90           0.00          17.20           2           Ti048 
        22             49              0        4.000000E+03   8.000000E+02  RIPL-3                5.87           0.00          51.87           7           Ti049 
        22             50              0        2.490000E+04   1.600000E+03  RIPL-3               66.78           0.00          45.23           1           Ti050 
        23             49              0        1.760000E+03   1.800000E+02  Mughabghab-2018       0.00           0.00          31.45           0           V049  
        23             50              0        2.000000E+03   1.000000E+02  RIPL-3               10.94           0.00          16.54           0           V050  
        23             51              0        4.000000E+03   6.000000E+02  RIPL-3                1.55           0.00          59.54          11           V051  
        24             50              0        1.250000E+04   1.200000E+03  RIPL-3                4.62           0.00          14.68           2           Cr050 
        24             52              0        3.200000E+04   3.500000E+03  RIPL-3               13.16           0.00          36.72          14           Cr052 
        24             53              0        6.700000E+03   6.000000E+02  RIPL-3               11.08           0.00          56.96           8           Cr053 
        24             54              0        5.000000E+04   8.000000E+03  RIPL-3               19.03           0.00          14.40           2           Cr054 
        25             55              0        2.300000E+03   4.000000E+02  RIPL-3                2.42           0.00          23.26           6           Mn055 
        26             54              0        2.050000E+04   1.400000E+03  RIPL-3               11.34           0.00          36.16           3           Fe054 
        26             56              0        2.540000E+04   2.200000E+03  RIPL-3                6.60           0.00          30.68           4           Fe056 
        26             57              0        7.050000E+03   7.000000E+02  RIPL-3                3.78           0.00          70.07           6           Fe057 
        26             58              0        2.160000E+04   2.600000E+03  RIPL-3                9.97           0.00          12.93           1           Fe058 
        27             59              0        1.450000E+03   1.500000E+02  RIPL-3                6.15           0.00          30.87           3           Co059 
        28             58              0        1.340000E+04   9.000000E+02  RIPL-3                1.71           0.00          32.24           6           Ni058 
        28             59              0        2.000000E+03   7.000000E+02  RIPL-3                0.00           0.00          30.12           0           Ni059 
        28             60              0        1.380000E+04   9.000000E+02  RIPL-3                2.35           0.00          29.12           5           Ni060 
        28             61              0        2.100000E+03   1.500000E+02  RIPL-3                9.59           0.00          29.59           5           Ni061 
        28             62              0        1.600000E+04   3.000000E+03  RIPL-3                1.17           0.00          27.15           2           Ni062 
        28             63              0        4.400000E+03   8.000000E+02  Mughabghab-2018       0.00           0.00          28.09           0           Ni063 
        28             64              0        2.360000E+04   3.000000E+03  RIPL-3                7.70           0.00           9.61           0           Ni064 
