# header: 
#   title: Gd156 gamgam resonance data
#   source: Resonancetables
#   date: 2025-09-08
# target: 
#   Z: 64
#   A: 156
#   nuclide: Gd156
# reaction: 
#   type: gamgam
#   parameters: 
#   selected value [eV]:  8.800001E-02
#   selected value uncertainty [eV]:  1.200000E-02
#   selected value source: RIPL-3
#   number of values: 10
#   average value [b]:  8.761681E-02
#   relative standard deviation [%]:     11.323629
#   quantity: 
#     type: Compilation
#     average value:  8.493334E-02
#     relative standard deviation [%]:      5.106269
#   datablock: 
#     columns: 8
#     entries: 3
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      RIPL-2                  Compilation          2000        8.800001E-02   1.200000E-02            97I       1.000000
      RIPL-3                  Compilation          2009        8.800001E-02   1.200000E-02            00I       1.000000
      Mughabghab-2018         Compilation          2018        7.880000E-02   5.000000E-04                      0.895454
#   quantity: 
#     type: EXFOR
#     average value:  8.200000E-02
#     relative standard deviation [%]:      0.000000
#   datablock: 
#     columns: 8
#     entries: 1
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      Karzhavina              EXFOR                1969        8.200000E-02   1.200000E-02       40162055       0.931818
#   quantity: 
#     type: Nuclear data library
#     average value:  8.989467E-02
#     relative standard deviation [%]:     13.190674
#   datablock: 
#     columns: 8
#     entries: 6
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      cendl3.2                NDL                  2019        1.055170E-01   0.000000E+00                      1.199057
      jendl5.0                NDL                  2021        1.048250E-01   0.000000E+00                      1.191193
      endfb8.1                NDL                  2024        8.067160E-02   0.000000E+00                      0.916723
      TARES                   NDL                  2025        7.795530E-02   0.000000E+00                      0.885856
      tendl.2025              NDL                  2025        7.795530E-02   0.000000E+00                      0.885856
      jeff4.0                 NDL                  2025        9.244380E-02   0.000000E+00                      1.050498
