# header: 
#   title: Ba135 gamgam resonance data
#   source: Resonancetables
#   date: 2025-08-25
# target: 
#   Z: 56
#   A: 135
#   nuclide: Ba135
# reaction: 
#   type: gamgam
#   parameters: 
#   selected value [eV]:  1.350000E-01
#   selected value uncertainty [eV]:  2.500000E-02
#   selected value source: RIPL-3
#   number of values: 10
#   average value [b]:  1.354019E-01
#   relative standard deviation [%]:     19.381464
# quantity: 
#   type: Compilation
#   average value:  1.303333E-01
#   relative standard deviation [%]:      5.063683
# datablock: 
#   columns: 8
#   entries: 3
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      RIPL-2                  Compilation          2000        1.350000E-01   2.500000E-02            97I       1.000000
      RIPL-3                  Compilation          2009        1.350000E-01   2.500000E-02            97I       1.000000
      Mughabghab-2018         Compilation          2018        1.210000E-01   9.000000E-03                      0.896296
# quantity: 
#   type: EXFOR
#   average value:  1.050000E-01
#   relative standard deviation [%]:      0.000000
# datablock: 
#   columns: 8
#   entries: 1
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      Alves                   EXFOR                1969        1.050000E-01   5.000000E-03       20688012       0.777778
# quantity: 
#   type: Nuclear data library
#   average value:  1.430032E-01
#   relative standard deviation [%]:     20.994463
# datablock: 
#   columns: 8
#   entries: 6
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      cendl3.2                NDL                  2019        1.469170E-01   0.000000E+00                      1.088274
      jendl5.0                NDL                  2021        1.469170E-01   0.000000E+00                      1.088274
      endfb8.1                NDL                  2024        1.207950E-01   0.000000E+00                      0.894778
      TARES                   NDL                  2025        1.194670E-01   0.000000E+00                      0.884941
      tendl.2025              NDL                  2025        2.044560E-01   0.000000E+00                      1.514489
      jeff4.0                 NDL                  2025        1.194670E-01   0.000000E+00                      0.884941
