# header: 
#   title: As075 gamgam resonance data
#   source: Resonancetables
#   date: 2025-10-13
# target: 
#   Z: 33
#   A: 75
#   nuclide: As075
# reaction: 
#   type: gamgam
#   parameters: 
#   selected value [eV]:  3.000000E-01
#   selected value uncertainty [eV]:  9.000000E-02
#   selected value source: RIPL-3
#   number of values: 10
#   average value [b]:  3.210318E-01
#   relative standard deviation [%]:      3.875266
#   quantity: 
#     type: Compilation
#     average value:  3.133334E-01
#     relative standard deviation [%]:      6.017929
#   datablock: 
#     columns: 8
#     entries: 3
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      RIPL-2                  Compilation          2000        3.000000E-01   9.000000E-02            96I       1.000000
      RIPL-3                  Compilation          2009        3.000000E-01   9.000000E-02            07I       1.000000
      Mughabghab-2018         Compilation          2018        3.400000E-01   9.000000E-03                      1.133333
#   quantity: 
#     type: EXFOR
#     average value:  3.200000E-01
#     relative standard deviation [%]:      0.000000
#   datablock: 
#     columns: 8
#     entries: 1
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      J.Julien                EXFOR                1968        3.200000E-01   0.000000E+00      20676-008       1.066667
#   quantity: 
#     type: Nuclear data library
#     average value:  3.250530E-01
#     relative standard deviation [%]:      1.799093
#   datablock: 
#     columns: 8
#     entries: 6
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      cendl3.2                NDL                  2019        3.192050E-01   0.000000E+00                      1.064017
      jendl5.0                NDL                  2021        3.192050E-01   0.000000E+00                      1.064017
      endfb8.1                NDL                  2024        3.192050E-01   0.000000E+00                      1.064017
      TARES                   NDL                  2025        3.309010E-01   0.000000E+00                      1.103003
      tendl.2025              NDL                  2025        3.309010E-01   0.000000E+00                      1.103003
      jeff4.0                 NDL                  2025        3.309010E-01   0.000000E+00                      1.103003
