# header: 
#   title: Ru102 gamgam resonance data
#   source: Resonancetables
#   date: 2025-10-13
# target: 
#   Z: 44
#   A: 102
#   nuclide: Ru102
# reaction: 
#   type: gamgam
#   parameters: 
#   selected value [eV]:  1.000000E-01
#   selected value uncertainty [eV]:  1.500000E-02
#   selected value source: RIPL-3
#   number of values: 10
#   average value [b]:  1.016247E-01
#   relative standard deviation [%]:     15.069919
#   quantity: 
#     type: Compilation
#     average value:  9.800000E-02
#     relative standard deviation [%]:      6.008000
#   datablock: 
#     columns: 8
#     entries: 3
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      RIPL-2                  Compilation          2000        9.000000E-02   1.000000E-02            79F       0.900000
      RIPL-3                  Compilation          2009        1.000000E-01   1.500000E-02            04I       1.000000
      Mughabghab-2018         Compilation          2018        1.040000E-01   2.400000E-02                      1.040000
#   quantity: 
#     type: EXFOR
#     average value:  6.000000E-02
#     relative standard deviation [%]:      0.000000
#   datablock: 
#     columns: 8
#     entries: 1
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      R.W.Hockenbury          EXFOR                1975        6.000000E-02   0.000000E+00      10552-014       0.600000
#   quantity: 
#     type: Nuclear data library
#     average value:  1.103745E-01
#     relative standard deviation [%]:      1.171575
#   datablock: 
#     columns: 8
#     entries: 6
##    Author                         Type           Year           Value         dValue        Reference        Ratio
##      []             []             []             []            [eV]           [eV]            []             []
      cendl3.2                NDL                  2019        1.090420E-01   0.000000E+00                      1.090420
      jendl5.0                NDL                  2021        1.091620E-01   0.000000E+00                      1.091620
      endfb8.1                NDL                  2024        1.090420E-01   0.000000E+00                      1.090420
      TARES                   NDL                  2025        1.116670E-01   0.000000E+00                      1.116670
      tendl.2025              NDL                  2025        1.116670E-01   0.000000E+00                      1.116670
      jeff4.0                 NDL                  2025        1.116670E-01   0.000000E+00                      1.116670
